patient_id,name,nhis_number,birth_date,ward_location_id,allergies
P001,Ama Serwaa,12345678,1985-05-20,L002,"Penicillin"
P002,Kofi Mensah,87654321,1990-08-15,L002,""
P003,Yaa Asantewaa,11223344,1978-11-30,L003,"Sulfa drugs"
P004,Kwame Nkrumah,55667788,1965-02-10,L003,""
P005,Esi Dzata,99887766,2001-07-25,L004,""
P006,Nii Armah,12121212,1995-01-01,L004,""
P007,Adwoa Agyeman,34343434,1988-03-12,L006,""
P008,Kojo Antwi,56565656,1972-09-09,L006,""
P009,Akosua Busia,78787878,1999-12-24,L007,""
P010,Yaw Frimpong,90909090,1980-06-06,L007,""
P011,Abena Osei,23232323,1992-04-18,L008,""
P012,Kwabena Jones,45454545,1983-10-22,L008,""
P013,Afia Poku,67676767,1976-05-14,L009,""
P014,Kweku Ananse,89898989,2005-11-01,L009,""
P015,Fati Ali,10101010,1998-02-28,L012,""
P016,Musa Ibrahim,20202020,1987-07-07,L012,""
P017,Nana Aba,30303030,1993-09-19,L013,""
P018,Kofi Annan,40404040,1950-04-08,L013,""
P019,Gifty Anti,50505050,1970-01-23,L014,""
P020,John Mahama,60606060,1958-11-29,L014,""
P021,Lordina Mahama,70707070,1963-03-06,L016,""
P022,Samira Bawumia,80808080,1980-08-20,L016,""
P023,Rebecca Akufo-Addo,90909090,1951-03-12,L017,""
P024,Mahamudu Bawumia,19191919,1963-10-07,L017,""
P025,Nana Akufo-Addo,28282828,1944-03-29,L018,""
P026,Jerry Rawlings,37373737,1947-06-22,L018,""
P027,John Kufuor,46464646,1938-12-08,L019,""
P028,Theresa Kufuor,55555555,1935-10-25,L019,""
P029,Atta Mills,64646464,1944-07-21,L020,""
P030,Ernestina Naadu Mills,73737373,1943-01-20,L020,""
P031,Hilla Limann,82828282,1934-12-12,L021,""
P032,Ignatius Kutu Acheampong,91919191,1931-09-23,L021,""
P033,Kofi Abrefa Busia,18181818,1913-07-11,L022,""
P034,Joseph Arthur Ankrah,27272727,1915-08-18,L022,""
P035,Akwasi Afrifa,36363636,1936-04-24,L023,""
P036,Edward Akufo-Addo,45454545,1906-06-26,L023,""
P037,Ama Ata Aidoo,54545454,1942-03-23,L024,""
P038,Ayi Kwei Armah,63636363,1939-10-28,L024,""
P039,Efua Sutherland,72727272,1924-06-27,L025,""
P040,Kofi Awoonor,81818181,1935-03-13,L025,""
P041,Joe Appiah,90909090,1918-11-16,L026,""
P042,Francis Allotey,17171717,1932-08-09,L026,""
P043,Esther Ocloo,26262626,1919-04-18,L027,""
P044,Theodosia Okoh,35353535,1922-06-13,L027,""
P045,Philip Gbeho,44444444,1904-01-14,L028,""
P046,Ephraim Amu,53535353,1899-09-13,L028,""
P047,Osei Tutu I,62626262,1660-01-01,L029,""
P048,Yaa Naa,71717171,1700-01-01,L029,""
P049,Togbe Afede XIV,80808080,1957-04-23,L030,""
P050,Otumfuo Osei Tutu II,89898989,1950-05-06,L030,""
